time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449500000	17.8037	18.1834	4.63648	2.35054	0.55139	lidar	0.0779446	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.7188	18.3559	4.58869	2.35522	0.528312	radar	6.87007	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.5241	18.5457	4.63883	2.38372	0.528608	lidar	0.356541	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.3613	18.6645	4.59998	2.42089	0.547351	radar	1.36059	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1809	18.8217	4.61156	2.44818	0.547023	lidar	0.0316296	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	17.0169	19.0169	4.64298	2.46057	0.528838	radar	3.46173	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.8111	19.1657	4.66603	2.49051	0.530886	lidar	0.496321	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.6031	19.3496	4.72689	2.51927	0.539709	radar	3.37447	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3807	19.5081	4.77063	2.5473	0.539497	lidar	0.268034	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.1657	19.5437	4.71202	2.60333	0.576892	radar	10.0492	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.9447	19.6834	4.74472	2.63105	0.575341	lidar	0.265346	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7858	19.7867	4.66854	2.63527	0.531173	radar	2.99667	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.5454	19.9324	4.72726	2.66044	0.528732	lidar	0.589885	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.3077	20.1208	4.80676	2.66872	0.504109	radar	6.53334	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0935	20.2403	4.81534	2.6913	0.501982	lidar	0.357459	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.862	20.3121	4.80797	2.72596	0.51172	radar	1.56131	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6324	20.4228	4.82782	2.74932	0.509671	lidar	0.256828	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3775	20.5309	4.87737	2.77972	0.519809	radar	1.15252	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1375	20.618	4.89067	2.80622	0.519899	lidar	0.058621	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8971	20.697	4.90893	2.83843	0.532614	radar	0.308397	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6393	20.7747	4.93656	2.86578	0.532564	lidar	0.233762	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4036	20.7893	4.93382	2.91971	0.578412	radar	2.26108	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1557	20.8424	4.94202	2.94873	0.578311	lidar	0.0187684	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9357	20.9107	4.92963	2.96969	0.571735	radar	1.82359	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7106	20.9483	4.90983	2.99724	0.571448	lidar	0.276282	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4206	21.0177	4.9816	3.02164	0.568857	radar	2.60819	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.174	21.0476	4.9822	3.04924	0.568224	lidar	0.0344983	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9488	21.0697	4.96603	3.07912	0.574729	radar	1.04826	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.71	21.0662	4.94974	3.11118	0.5776	lidar	0.29416	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4624	21.0392	4.94254	3.14925	0.587304	radar	1.14403	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2344	21.0288	4.91974	3.17938	0.588465	lidar	0.135661	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9611	20.9774	4.94032	3.2195	0.597094	radar	3.84138	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7418	20.9436	4.9074	3.25188	0.599893	lidar	0.176242	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.4471	20.9692	4.9261	3.25243	0.552156	radar	5.0393	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.187	20.9592	4.94897	3.27477	0.547478	lidar	0.449397	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	9.9466	20.9574	4.94219	3.29053	0.534082	radar	1.32055	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.74285	20.9073	4.895	3.32082	0.538078	lidar	0.525692	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.50245	20.9155	4.84455	3.31598	0.487595	radar	2.61393	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.30521	20.8576	4.79652	3.34528	0.49256	lidar	0.429004	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.10405	20.8219	4.76241	3.36775	0.492331	radar	1.89269	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.84454	20.7781	4.79586	3.38785	0.488103	lidar	0.176048	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68929	20.6693	4.70957	3.43023	0.505779	radar	4.3696	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.43309	20.6036	4.74571	3.45258	0.502746	lidar	0.431545	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
